"Time","Event",""
"09:20.515","Red Hot 7 Pyrotation Byn Al'arnab 21332 (U: 32614, M: 11282, 34.59%)--35% damage",""
"09:20.559","Red Hot 7 Pyrotation Amelia Mercer 34620 (U: 52930, M: 18310, 34.59%)--35% damage",""
"09:20.604","Red Hot 7 Pyrotation Lyra Willow 35835 (U: 54788, M: 18953, 34.59%)--35% damage",""
"09:20.648","Red Hot 7 Pyrotation Rexx Aprilis 1282 (A: 11502) (U: 28750, M: 15966, 55.53%)--56% damage",""
"09:20.693","Red Hot 7 Pyrotation Soulless Happymeal 19251 (A: 19527) (U: 59288, M: 20510, 34.59%)--35% damage",""
"09:21.225","Red Hot prepares  Attack  on Rexx Aprilis 31246 (U: 70252)--56% damage",""
"09:22.024","Red Hot Attack Rexx Aprilis 31246 (U: 70252, M: 39006, 55.52%)--56% damage",""
"09:22.558","Deep Blue prepares  Attack  on Byn Al'arnab 41129 (P: 7258) (U: 66580)--27% damage",""
"09:23.314","Multiple Enemies Combined DoTs Rexx Aprilis Tick  72520 (U: 72520)",""
"09:23.314","Environment Burns Rexx Aprilis Tick  72520 (U: 172667) (T: 1, C: 0%, D: 0.0%, P/R: 1.00, G: 0.42, M: 0.42, S: 1)--58% damage",""
"09:23.358","Deep Blue Attack Byn Al'arnab 41129 (P: 7258) (U: 66580, M: 25451, 38.23%)--27% damage",""
"09:24.247","Red Hot prepares  Attack  on Rexx Aprilis 37316 (U: 71315)--48% damage",""
"09:25.048","Red Hot Attack Rexx Aprilis 37316 (U: 71315, M: 33999, 47.67%)--48% damage",""
"09:26.294","Multiple Enemies Combined DoTs Rexx Aprilis Tick  71091 (U: 71091)",""
"09:26.294","Environment Burns Rexx Aprilis Tick  71091 (U: 169265) (T: 1, C: 0%, D: 0.0%, P/R: 1.00, G: 0.42, M: 0.42, S: 1)--58% damage",""
"09:29.275","Multiple Enemies Combined DoTs Rexx Aprilis Tick  69192 (U: 69192)",""
"09:29.275","Environment Burns Rexx Aprilis Tick  69192 (U: 164743) (T: 1, C: 0%, D: 0.0%, P/R: 1.00, G: 0.42, M: 0.42, S: 1)--58% damage",""
"09:29.321","Red Hot Divers' Dare Rexx Aprilis Immune",""
"09:29.321","Red Hot prepares  Divers' Dare  on Mini Wizard 64021 (U: 97881)--35% damage",""
"09:29.321","Red Hot prepares  Divers' Dare  on Rose Joli-ciel 65438 (U: 100047)--35% damage",""
"09:29.321","Red Hot prepares  Divers' Dare  on Lyra Willow 62406 (U: 106013)--41% damage",""
"09:29.321","Red Hot prepares  Divers' Dare  on Amelia Mercer 63234 (U: 96677)--35% damage",""
"09:29.321","Red Hot prepares  Divers' Dare  on Byn Al'arnab 30876 (U: 59007)--48% damage",""
"09:29.321","Red Hot prepares  Divers' Dare  on Aloliona Aster 64303 (U: 98312)--35% damage",""
"09:29.321","Red Hot prepares  Divers' Dare  on Soulless Happymeal 69891 (U: 106855)--35% damage",""
"09:29.321","Deep Blue Divers' Dare Rexx Aprilis Immune",""
"09:29.321","Deep Blue prepares  Divers' Dare  on Mini Wizard 69179 (U: 100478)--31% damage",""
"09:29.321","Deep Blue prepares  Divers' Dare  on Rose Joli-ciel 65888 (U: 95698)--31% damage",""
"09:29.321","Deep Blue prepares  Divers' Dare  on Lyra Willow 68142 (U: 109969)--38% damage",""
"09:29.321","Deep Blue prepares  Divers' Dare  on Amelia Mercer 68092 (U: 98900)--31% damage",""
"09:29.321","Deep Blue prepares  Divers' Dare  on Byn Al'arnab 32285 (U: 58615)--45% damage",""
"09:29.321","Deep Blue prepares  Divers' Dare  on Aloliona Aster 63557 (U: 92313)--31% damage",""
"09:29.321","Deep Blue prepares  Divers' Dare  on Soulless Happymeal 71845 (U: 104351)--31% damage",""
"09:29.989","Red Hot Divers' Dare Mini Wizard 64021 (U: 97881, M: 33860, 34.59%)--35% damage",""
"09:29.989","Deep Blue Divers' Dare Mini Wizard 69179 (U: 100478, M: 31299, 31.15%)--31% damage",""
"09:30.034","Red Hot Divers' Dare Rose Joli-ciel 65438 (U: 100047, M: 34609, 34.59%)--35% damage",""
"09:30.034","Deep Blue Divers' Dare Rose Joli-ciel 65888 (U: 95698, M: 29810, 31.15%)--31% damage",""
"09:30.078","Red Hot Divers' Dare Lyra Willow 62406 (U: 106013, M: 43607, 41.13%)--41% damage",""
"09:30.078","Deep Blue Divers' Dare Lyra Willow 68142 (U: 109969, M: 41827, 38.04%)--38% damage",""
"09:30.124","Red Hot Divers' Dare Amelia Mercer 63234 (U: 96677, M: 33443, 34.59%)--35% damage",""
"09:30.124","Deep Blue Divers' Dare Amelia Mercer 68092 (U: 98900, M: 30808, 31.15%)--31% damage",""
